timestamp,distance
0,9.3
200,8.9
400,9.7
600,10.1
800,9.4
1000,8.8
1200,9.6
1400,10.4
1600,9.7
1800,9.1
2000,10.6
2200,9.2
2400,10.3
2600,9.8
2800,9.7
3000,10.2
3200,10.5
3400,9.6
3600,9.1
3800,10.4
