timestamp,distance
0,8.9
200,9.8
400,10.1
600,9.5
800,10.9
1000,9.3
1200,10.7
1400,8.8
1600,9.6
1800,10.2
2000,9.4
2200,10.0
2400,8.9
2600,10.6
2800,9.7
3000,10.1
3200,9.2
3400,10.7
3600,9.8
3800,10.4
