timestamp,distance
0,12.0
200,11.2
400,10.9
600,11.6
800,11.1
1000,10.4
1200,11.8
1400,10.9
1600,11.3
1800,10.2
2000,11.5
2200,10.8
2400,11.9
2600,10.3
2800,11.4
3000,11.0
3200,10.5
3400,11.2
3600,10.7
3800,11.8
