timestamp,distance
0,10.1
200,9.4
400,10.9
600,10.3
800,9.7
1000,10.5
1200,11.0
1400,9.6
1600,10.2
1800,10.8
2000,9.9
2200,11.4
2400,10.6
2600,9.8
2800,9.3
3000,10.5
3200,11.2
3400,10.6
3600,11.0
3800,10.4
